GEOID,NAME,POP10,SQMI,DENSITY
01001,Autauga County,54571,594.436,92
01003,Baldwin County,182265,1589.784,115
01005,Barbour County,27457,884.876,31
01007,Bibb County,22915,622.582,37
01009,Blount County,57322,644.776,89
01011,Bullock County,10914,622.805,18
01013,Butler County,20947,776.829,27
01015,Calhoun County,118572,605.868,196
01017,Chambers County,34215,596.531,57
01019,Cherokee County,25989,553.7,47
01021,Chilton County,43643,692.854,63
01023,Choctaw County,13859,913.5,15
01025,Clarke County,25833,1238.465,21
01027,Clay County,13932,603.961,23
01029,Cleburne County,14972,560.1,27
01031,Coffee County,49948,678.972,74
01033,Colbert County,54428,592.619,92
01035,Conecuh County,13228,850.156,16
01037,Coosa County,11539,650.926,18
01039,Covington County,37765,1030.456,37
01041,Crenshaw County,13906,608.84,23
01043,Cullman County,80406,734.841,109
01045,Dale County,50251,561.15,90
01047,Dallas County,43820,978.695,45
01049,DeKalb County,71109,777.093,92
01051,Elmore County,79303,618.485,128
01053,Escambia County,38319,945.08,41
01055,Etowah County,104430,534.991,195
01057,Fayette County,17241,627.66,27
01059,Franklin County,31704,633.821,50
01061,Geneva County,26790,574.408,47
01063,Greene County,9045,647.11,14
01065,Hale County,15760,643.943,24
01067,Henry County,17302,561.75,31
01069,Houston County,101547,579.824,175
01071,Jackson County,53227,1077.868,49
01073,Jefferson County,658466,1111.276,593
01075,Lamar County,14564,604.846,24
01077,Lauderdale County,92709,667.697,139
01079,Lawrence County,34339,690.678,50
01081,Lee County,140247,607.536,231
01083,Limestone County,82782,559.936,148
01085,Lowndes County,11299,715.911,16
01087,Macon County,21452,608.885,35
01089,Madison County,334811,801.593,418
01091,Marengo County,21027,976.882,22
01093,Marion County,30776,742.292,41
01095,Marshall County,93019,565.842,164
01097,Mobile County,412992,1229.435,336
01099,Monroe County,23068,1025.675,22
01101,Montgomery County,229363,784.247,292
01103,Morgan County,119490,579.337,206
01105,Perry County,10591,719.664,15
01107,Pickens County,19746,881.408,22
01109,Pike County,32899,672.094,49
01111,Randolph County,22913,580.55,39
01113,Russell County,52947,641.14,83
01115,St. Clair County,83593,631.902,132
01117,Shelby County,195085,784.93,249
01119,Sumter County,13763,903.887,15
01121,Talladega County,82291,736.775,112
01123,Tallapoosa County,41616,716.521,58
01125,Tuscaloosa County,194656,1321.755,147
01127,Walker County,67023,791.192,85
01129,Washington County,17581,1080.207,16
01131,Wilcox County,11670,888.498,13
01133,Winston County,24484,612.979,40
02013,Aleutians East Borough,3141,6981.943,0
02016,Aleutians West Census Area,5561,4390.276,1
02020,Anchorage Municipality,291826,1704.683,171
02050,Bethel Census Area,17013,40570.004,0
02060,Bristol Bay Borough,997,503.843,2
02068,Denali Borough,1826,12751.411,0
02070,Dillingham Census Area,4847,18568.778,0
02090,Fairbanks North Star Borough,97581,7338.209,13
02100,Haines Borough,2508,2318.6,1
02105,Hoonah-Angoon Census Area,2150,7524.915,0
02110,Juneau City and Borough,31275,2701.931,12
02122,Kenai Peninsula Borough,55400,16075.331,3
02130,Ketchikan Gateway Borough,13477,4858.414,3
02150,Kodiak Island Borough,13592,6549.579,2
02164,Lake and Peninsula Borough,1631,23652.009,0
02170,Matanuska-Susitna Borough,88995,24607.898,4
02180,Nome Census Area,9492,22961.761,0
02185,North Slope Borough,9430,88695.413,0
02188,Northwest Arctic Borough,7523,35572.584,0
02195,Petersburg Census Area,3815,3281.982,1
02198,Prince of Wales-Hyder Census Area,5559,3922.873,1
02220,Sitka City and Borough,8881,2870.339,3
02230,Skagway Municipality,968,452.325,2
02240,Southeast Fairbanks Census Area,7029,24768.808,0
02261,Valdez-Cordova Census Area,9636,34239.88,0
02270,Wade Hampton Census Area,7459,17081.433,0
02275,Wrangell City and Borough,2369,2541.483,1
02282,Yakutat City and Borough,662,7649.457,0
02290,Yukon-Koyukuk Census Area,5588,145504.789,0
04001,Apache County,71518,11197.521,6
04003,Cochise County,131346,6165.69,21
04005,Coconino County,134421,18618.885,7
04007,Gila County,53597,4757.933,11
04009,Graham County,37220,4622.597,8
04011,Greenlee County,8437,1843.126,5
04012,La Paz County,20489,4499.629,5
04013,Maricopa County,3817117,9200.143,415
04015,Mohave County,200186,13311.084,15
04017,Navajo County,107449,9950.422,11
04019,Pima County,980263,9187.036,107
04021,Pinal County,375770,5365.612,70
04023,Santa Cruz County,47420,1236.916,38
04025,Yavapai County,211033,8123.499,26
04027,Yuma County,195751,5513.992,36
05001,Arkansas County,19019,988.77,19
05003,Ashley County,21853,925.349,24
05005,Baxter County,41513,554.283,75
05007,Benton County,221339,847.357,261
05009,Boone County,36903,590.231,63
05011,Bradley County,11508,649.231,18
05013,Calhoun County,5368,628.581,9
05015,Carroll County,27446,630.087,44
05017,Chicot County,11800,644.304,18
05019,Clark County,22995,866.074,27
05021,Clay County,16083,639.465,25
05023,Cleburne County,25970,553.692,47
05025,Cleveland County,8689,597.783,15
05027,Columbia County,24552,766.053,32
05029,Conway County,21273,552.25,39
05031,Craighead County,96443,707.206,136
05033,Crawford County,61948,593.094,104
05035,Crittenden County,50902,609.76,83
05037,Cross County,17870,616.381,29
05039,Dallas County,8116,667.386,12
05041,Desha County,13008,768.152,17
05043,Drew County,18509,828.356,22
05045,Faulkner County,113237,647.884,175
05047,Franklin County,18125,608.857,30
05049,Fulton County,12245,618.194,20
05051,Garland County,96024,677.781,142
05053,Grant County,17853,631.809,28
05055,Greene County,42090,577.699,73
05057,Hempstead County,22609,727.52,31
05059,Hot Spring County,32923,615.202,54
05061,Howard County,13789,588.554,23
05063,Independence County,36647,763.953,48
05065,Izard County,13696,580.577,24
05067,Jackson County,17997,633.938,28
05069,Jefferson County,77435,870.746,89
05071,Johnson County,25540,659.804,39
05073,Lafayette County,7645,528.268,14
05075,Lawrence County,17415,587.614,30
05077,Lee County,10424,602.621,17
05079,Lincoln County,14134,561.517,25
05081,Little River County,13171,532.253,25
05083,Logan County,22353,708.125,32
05085,Lonoke County,68356,770.728,89
05087,Madison County,15717,834.255,19
05089,Marion County,16653,597.009,28
05091,Miller County,43462,625.578,69
05093,Mississippi County,46480,900.574,52
05095,Monroe County,8149,607.122,13
05097,Montgomery County,9487,779.88,12
05099,Nevada County,8997,617.837,15
05101,Newton County,8330,820.896,10
05103,Ouachita County,26120,732.783,36
05105,Perry County,10445,551.402,19
05107,Phillips County,21757,695.663,31
05109,Pike County,11291,600.618,19
05111,Poinsett County,24583,758.389,32
05113,Polk County,20662,857.679,24
05115,Pope County,61754,812.548,76
05117,Prairie County,8715,647.958,13
05119,Pulaski County,382748,759.763,504
05121,Randolph County,17969,652.191,28
05123,St. Francis County,28258,634.771,45
05125,Saline County,107118,723.604,148
05127,Scott County,11233,892.32,13
05129,Searcy County,8195,666.095,12
05131,Sebastian County,125744,531.911,236
05133,Sevier County,17058,565.126,30
05135,Sharp County,17264,604.439,29
05137,Stone County,12394,606.405,20
05139,Union County,41639,1039.214,40
05141,Van Buren County,17295,708.143,24
05143,Washington County,203065,941.966,216
05145,White County,77076,1035.075,74
05147,Woodruff County,7260,586.791,12
05149,Yell County,22185,929.984,24
06001,Alameda County,1510271,739.017,2044
06003,Alpine County,1175,738.332,2
06005,Amador County,38091,594.583,64
06007,Butte County,220000,1636.464,134
06009,Calaveras County,45578,1020.012,45
06011,Colusa County,21419,1150.731,19
06013,Contra Costa County,1049025,715.937,1465
06015,Del Norte County,28610,1006.373,28
06017,El Dorado County,181058,1707.883,106
06019,Fresno County,930450,5957.991,156
06021,Glenn County,28122,1313.947,21
06023,Humboldt County,134623,3567.987,38
06025,Imperial County,174528,4176.603,42
06027,Inyo County,18546,10180.879,2
06029,Kern County,839631,8131.916,103
06031,Kings County,152982,1389.42,110
06033,Lake County,64665,1256.464,51
06035,Lassen County,34895,4541.184,8
06037,Los Angeles County,9818605,4057.884,2420
06039,Madera County,150865,2137.069,71
06041,Marin County,252409,520.306,485
06043,Mariposa County,18251,1448.816,13
06045,Mendocino County,87841,3506.343,25
06047,Merced County,255793,1934.972,132
06049,Modoc County,9686,3917.77,2
06051,Mono County,14202,3048.982,5
06053,Monterey County,415057,3280.595,127
06055,Napa County,136484,748.362,182
06057,Nevada County,98764,957.772,103
06059,Orange County,3010232,790.568,3808
