Offense ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,(blank),Grand Total
CAR PROWL,257,243,183,101,106,122,175,496,722,818,832,730,715,642,566,656,572,561,532,524,545,570,471,372,,11511
OTHER PROPERTY,101,80,75,35,43,61,71,181,304,373,475,488,534,564,505,568,535,517,408,364,364,349,230,161,,7386
BURGLARY,127,107,91,76,92,109,118,214,238,312,319,283,376,420,368,377,389,431,430,300,269,298,243,182,,6169
VEHICLE THEFT,84,75,65,44,63,86,174,341,381,416,346,311,278,235,235,229,199,219,200,170,183,142,138,124,,4738
PROPERTY DAMAGE,113,140,112,68,69,56,68,171,247,311,312,267,279,246,235,239,231,238,209,175,174,196,117,138,,4411
ASSAULT,171,215,183,80,64,57,37,65,82,86,110,116,154,140,134,174,194,182,180,156,172,192,177,192,,3313
FRAUD,20,11,6,3,3,3,17,59,112,168,244,265,270,297,237,301,242,202,149,127,100,87,52,34,,3009
WARRANT ARREST,145,116,67,49,26,19,65,52,57,62,83,156,194,208,188,204,206,162,120,106,160,184,164,151,,2944
STOLEN PROPERTY,50,41,35,21,27,24,38,66,90,117,111,108,149,159,154,171,147,150,141,131,90,113,77,58,,2268
DISTURBANCE,89,116,96,54,33,35,33,43,51,75,89,79,110,110,107,100,137,126,124,101,118,110,125,109,,2170
THREATS,46,40,29,24,17,15,24,41,58,78,117,133,145,143,158,176,162,147,132,105,132,109,71,50,,2152
SHOPLIFTING,35,36,36,18,31,16,24,26,48,74,71,96,126,139,150,184,161,167,141,98,127,84,70,52,,2010
ROBBERY,67,65,53,56,23,22,24,20,28,39,38,31,63,58,63,82,75,74,95,91,86,87,70,88,,1398
NARCOTICS,53,57,27,8,6,8,5,10,19,14,30,64,85,91,83,115,92,68,50,56,83,121,121,71,,1337
BIKE THEFT,13,12,4,5,4,5,8,26,52,65,77,72,67,78,79,75,78,75,76,64,67,46,40,34,,1122
BURGLARY-SECURE PARKING-RES,5,5,1,7,4,7,29,45,56,72,76,48,47,62,67,50,47,53,52,44,41,19,19,15,,871
TRESPASS,45,39,30,22,15,14,22,23,27,31,38,43,43,45,39,57,44,35,24,13,36,48,42,37,,812
TRAFFIC,11,17,9,7,3,6,3,7,11,17,12,9,18,18,18,23,25,16,23,20,24,29,22,15,,363
MAIL THEFT,4,,2,,2,1,1,5,15,25,29,28,29,32,23,29,26,22,12,13,11,11,8,6,,334
WEAPON,23,17,13,4,4,4,2,4,6,6,7,14,17,18,22,21,17,13,19,15,11,26,21,19,,323
DISPUTE,4,5,3,4,1,,2,8,12,16,16,24,17,22,24,23,21,25,19,14,20,14,7,10,,311
LOST PROPERTY,4,2,3,3,1,2,4,4,8,14,16,24,27,34,20,23,28,15,22,13,13,11,6,6,,303
THEFT OF SERVICES,15,18,10,16,12,6,3,3,4,3,9,8,12,12,16,13,7,10,15,13,12,16,15,9,,257
VIOLATION OF COURT ORDER,4,4,3,2,1,,2,4,12,12,17,18,19,12,20,11,14,14,15,16,9,14,9,2,,234
PICKPOCKET,3,4,5,1,,,,2,4,10,13,15,18,18,15,18,16,12,9,18,11,14,9,4,,219
PROSTITUTION,21,5,2,,,,,,,,1,1,3,4,1,3,2,6,8,10,10,34,34,19,,164
COUNTERFEIT,1,1,1,1,1,2,1,3,6,4,9,10,9,12,20,14,15,12,15,7,5,2,9,3,,163
ANIMAL COMPLAINT,5,1,,3,,,1,2,4,4,6,6,10,8,10,7,12,12,10,16,16,17,7,2,,159
FORGERY,1,,,,,1,7,4,5,6,24,7,21,15,13,10,12,10,1,3,2,3,1,1,,147
INJURY,7,8,10,5,3,8,,,3,1,2,4,6,5,7,5,10,13,10,5,8,4,5,10,,139
EMBEZZLE,,,,,,,,1,3,15,6,6,12,10,18,15,12,9,7,4,2,2,2,1,,125
RECOVERED PROPERTY,1,3,3,1,,1,2,2,6,5,2,3,11,13,3,3,4,5,3,1,6,4,7,4,,93
LIQUOR VIOLATION,7,9,3,1,2,,,,1,,1,4,2,2,4,3,8,3,5,4,6,7,8,11,,91
OBSTRUCT,1,6,2,3,4,,1,,1,1,1,5,2,4,9,5,6,7,4,2,6,11,6,1,,88
ILLEGAL DUMPING,1,,,,1,,2,,2,5,4,6,4,5,5,2,3,3,3,1,3,3,3,2,,58
DUI,5,11,6,1,,1,,,1,,,,1,,1,2,2,1,1,3,2,2,3,4,,47
FALSE REPORT,1,3,,1,1,1,3,1,2,1,,2,3,1,2,1,1,1,1,,3,5,4,1,,39
PURSE SNATCH,1,,,,,,,,2,1,2,1,4,1,,3,2,3,2,3,1,3,5,1,,35
RECKLESS BURNING,3,4,4,,,1,,,,,3,,,1,2,,1,2,2,4,2,1,3,1,,34
STAY OUT OF AREA OF DRUGS,1,,2,,,,,,1,,1,1,1,1,,2,2,,,,,2,3,1,,18
HOMICIDE,,2,1,,1,1,,,2,,,2,1,,2,,,1,,1,,,2,1,,17
DISORDERLY CONDUCT,1,,1,,1,,,,,,,,,1,1,2,1,2,,1,,,,1,,12
FIREWORK,1,1,,1,,,,,1,,,,,,1,1,,,,,,3,,2,,11
PORNOGRAPHY,,,,,,,,,,,,1,1,1,2,1,2,,,,,2,,,,10
ELUDING,,1,,,1,1,,,,,,1,,,,,1,3,,,,,,,,8
PUBLIC NUISANCE,,,1,,,,,,1,,,1,,1,1,,,,2,,,,,,,7
EXTORTION,,,,,,,,,,1,,2,,,,1,1,,1,,,,,,,6
BIAS INCIDENT,,,1,,,,,,1,,1,,,,,1,,,,,1,,,,,5
ESCAPE,,,1,,,,,,,,,1,,,,,,,1,,1,,,,,4
HARBOR CALLs,,,,,,,,,,,,,,,,,,1,,,,,,,,1
LOITERING,,,,,,,,,,,,,1,,,,,,,,,,,,,1
