date,CAR PROWL,OTHER PROPERTY,BURGLARY,VEHICLE THEFT,PROPERTY DAMAGE,ASSAULT,FRAUD,WARRANT ARREST,STOLEN PROPERTY,DISTURBANCE,THREATS,SHOPLIFTING,ROBBERY,NARCOTICS,BIKE THEFT,BURGLARY-SECURE PARKING-RES,TRESPASS,TRAFFIC
0,257,101,127,84,113,171,20,145,50,89,46,35,67,53,13,5,45,11
1,243,80,107,75,140,215,11,116,41,116,40,36,65,57,12,5,39,17
2,183,75,91,65,112,183,6,67,35,96,29,36,53,27,4,1,30,9
3,101,35,76,44,68,80,3,49,21,54,24,18,56,8,5,7,22,7
4,106,43,92,63,69,64,3,26,27,33,17,31,23,6,4,4,15,3
5,122,61,109,86,56,57,3,19,24,35,15,16,22,8,5,7,14,6
6,175,71,118,174,68,37,17,65,38,33,24,24,24,5,8,29,22,3
7,496,181,214,341,171,65,59,52,66,43,41,26,20,10,26,45,23,7
8,722,304,238,381,247,82,112,57,90,51,58,48,28,19,52,56,27,11
9,818,373,312,416,311,86,168,62,117,75,78,74,39,14,65,72,31,17
10,832,475,319,346,312,110,244,83,111,89,117,71,38,30,77,76,38,12
11,730,488,283,311,267,116,265,156,108,79,133,96,31,64,72,48,43,9
12,715,534,376,278,279,154,270,194,149,110,145,126,63,85,67,47,43,18
13,642,564,420,235,246,140,297,208,159,110,143,139,58,91,78,62,45,18
14,566,505,368,235,235,134,237,188,154,107,158,150,63,83,79,67,39,18
15,656,568,377,229,239,174,301,204,171,100,176,184,82,115,75,50,57,23
16,572,535,389,199,231,194,242,206,147,137,162,161,75,92,78,47,44,25
17,561,517,431,219,238,182,202,162,150,126,147,167,74,68,75,53,35,16
18,532,408,430,200,209,180,149,120,141,124,132,141,95,50,76,52,24,23
19,524,364,300,170,175,156,127,106,131,101,105,98,91,56,64,44,13,20
20,545,364,269,183,174,172,100,160,90,118,132,127,86,83,67,41,36,24
21,570,349,298,142,196,192,87,184,113,110,109,84,87,121,46,19,48,29
22,471,230,243,138,117,177,52,164,77,125,71,70,70,121,40,19,42,22
23,372,161,182,124,138,192,34,151,58,109,50,52,88,71,34,15,37,15
